iter	Accuracy	MultiClass
847	0.6642991667	0.7489191398
848	0.664347814	0.7488625938
849	0.6643269652	0.748794704
850	0.6643756124	0.7487747051
851	0.6643964613	0.7487306529
852	0.6643686628	0.7486746268
853	0.664382562	0.7486256529
854	0.6643895117	0.7485560157
855	0.664382562	0.7484693945
856	0.6643617132	0.7484449027
857	0.6643964613	0.7484083437
858	0.6645841007	0.7483607202
859	0.6645632519	0.7483501563
860	0.6644590077	0.7483177093
861	0.6643686628	0.748281151
862	0.6643686628	0.7482385982
863	0.6643895117	0.748189467
864	0.664382562	0.7481527824
865	0.6643686628	0.7481268109
866	0.6644034109	0.7480604859
867	0.6643895117	0.7480061016
868	0.6644451085	0.7479629095
869	0.6646118991	0.7479183754
870	0.6645771511	0.7478376685
871	0.6646535968	0.747803441
872	0.6647508913	0.7477390462
873	0.6647578409	0.7476899192
874	0.6646883448	0.7476132295
875	0.6648481858	0.747572469
876	0.6648829338	0.7475237342
877	0.6649802284	0.7474434603
878	0.6649941276	0.7473917447
879	0.6649663291	0.7473395791
